Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_chassis_link,0.0723748257438112,-0.253997083929872,0.155225391142721,0,0,0,168.080262681343,2.92523252098037,0.000218120184152512,-0.0366029956572545,11.0073196679447,1.94249868524719E-06,13.0370029682555,0,0,0,0,0,0,package://truck_and_trailer/meshes/base_chassis_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://truck_and_trailer/meshes/base_chassis_link.STL,,Chassis-1;hitch connector-1;CAR_BODY_with_MOUNT-2/CAR_BODY-1,new_global_coord_under_tire,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_left_wheel_link,-4.98265708137602E-08,-6.00333797118324E-08,-9.36321333682155E-05,0,0,0,0.784079252834121,0.00313877186753156,1.13845295642195E-08,3.73865756298406E-09,0.00313877014381181,3.01276205225292E-09,0.00532754482672669,0,0,0,0,0,0,package://truck_and_trailer/meshes/rear_left_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://truck_and_trailer/meshes/rear_left_wheel_link.STL,,Tyre-5;Rim-5,rear_l_wheel_coord,rear_l_wheel_rotation_axis,rear_left_wheel_joint,continuous,0,0,0.1016,1.5708,0,0,base_chassis_link,0,0,-1,30,6,,,,,,,,,,
rear_right_wheel_link,-7.25355551178808E-08,-2.94789359034375E-08,9.36317316124827E-05,0,0,0,0.784079220999345,0.00313877685784208,9.80107157545839E-09,-4.00030025685091E-09,0.0031387651464266,-2.65238154905669E-09,0.00532754482329061,0,0,0,0,0,0,package://truck_and_trailer/meshes/rear_right_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://truck_and_trailer/meshes/rear_right_wheel_link.STL,,Tyre-7;Rim-7,rear_r_wheel_coord,rear_r_wheel_rotation_axis,rear_right_wheel_joint,continuous,0,-0.508,0.1016,1.5708,0,0,base_chassis_link,0,0,1,30,6,,,,,,,,,,
trailer_n_hitch_link,-0.645634495412604,4.48147048309755E-06,0.198390881545613,0,0,0,327.423658075201,6.92542289979725,0.00070660157794961,0.00456753205387379,28.8215763742987,3.35575598957988E-05,27.8266803056134,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_n_hitch_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_n_hitch_link.STL,,Hitch-1;Trailer_Assembly-1,trailer_hitch_coord,trailer_hitch_rotation_axis,trailer_n_hitch_joint,revolute,-0.44616,-0.254,0.1092,0,0,0,base_chassis_link,0,0,-1,0,0,-0.5236,0.5236,,,,,,,,
trailer_front_left_wheel_link,-2.87841991353233E-08,7.28140389649745E-08,-9.36317316133639E-05,0,0,0,0.784079220999348,0.00313876094299138,-5.40036667180988E-09,8.45046784124209E-10,0.0031387810612773,-4.72476729953416E-09,0.00532754482329061,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_front_left_wheel_link.STL,1,1,1,0.35,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_front_left_wheel_link.STL,,Rim-1;Tyre-1,trailer_frnt_l_wheel_coord,trailer_frnt_l_wheel_rotation_axis,trailer_front_left_wheel_joint,continuous,-0.67438,0.2159,-0.0075981,1.5708,0,0,trailer_n_hitch_link,0,0,-1,30,6,,,,,,,,,,
trailer_rear_left_wheel_link,7.8031524575195E-08,6.44170611296957E-09,-9.36317316133639E-05,0,0,0,0.78407922099935,0.00313878236723469,-1.08849047848805E-09,-4.76686750060549E-09,0.00313875963703401,5.60806842823699E-10,0.00532754482329062,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_rear_left_wheel_link.STL,1,1,1,0.35,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_rear_left_wheel_link.STL,,Rim-2;Tyre-2,trailer_rear_l_wheel_coord,trailer_rear_l_wheel_rotation_axis,trailer_rear_left_wheel_joint,continuous,-0.92838,0.2159,-0.0075981,1.5708,0,0,trailer_n_hitch_link,0,0,-1,30,6,,,,,,,,,,
trailer_front_right_wheel_link,-7.77130096940581E-08,-9.54476547798677E-09,9.36317316133596E-05,0,0,0,0.784079220999347,0.00313878099612338,5.52000909405695E-09,-4.55353826437736E-09,0.00313876100814531,-1.51750431438814E-09,0.00532754482329061,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_front_right_wheel_link.STL,1,1,1,0.35,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_front_right_wheel_link.STL,,Rim-3;Tyre-3,trailer_frnt_r_wheel_coord,trailer_frnt_r_wheel_roation_axis,trailer_front_right_wheel_joint,continuous,-0.67438,-0.2159,-0.0075981,1.5708,0,0,trailer_n_hitch_link,0,0,1,30,6,,,,,,,,,,
trailer_rear_right_wheel_link,-6.14052209080285E-08,4.8577908751124E-08,9.36317316132538E-05,0,0,0,0.784079220999342,0.0031387763997412,-1.00606241035101E-08,-4.2796927881452E-09,0.00313876560452747,2.17296105074814E-09,0.0053275448232906,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_rear_right_wheel_link.STL,1,1,1,0.35,0,0,0,0,0,0,package://truck_and_trailer/meshes/trailer_rear_right_wheel_link.STL,,Rim-4;Tyre-4,trailer_rear_r_wheel_coord,trailer_rear_r_wheel_rotation_axis,trailer_rear_right_wheel_joint,continuous,-0.92838,-0.2159,-0.0075981,1.5708,0,0,trailer_n_hitch_link,0,0,1,30,6,,,,,,,,,,
front_left_wheel_revolute_link,1.22124532708767E-15,0.0441998322829882,-0.042510111403507,0,0,0,0.200576881049191,0.000369683498051665,-1.1118705425367E-18,2.32830724824954E-19,5.18373707811601E-05,6.64392826806987E-05,0.000332287662706047,0,0,0,0,0,0,package://truck_and_trailer/meshes/front_left_wheel_revolute_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://truck_and_trailer/meshes/front_left_wheel_revolute_link.STL,,front shaft-1,front_left_wheel_revolute_coord,front_left_wheel_revolute_axis,front_left_wheel_revolute_joint,revolute,0.508,-0.12065,0.1516,0,0,0,base_chassis_link,0,0,-1,0,0,-0.26,0.66,,,,,,,,
front_left_wheel_link,-2.56660643849216E-08,7.39707209373996E-08,-9.36317316135304E-05,0,0,0,0.784079220999347,0.0031387605210159,-4.5273030827229E-09,6.43639443948284E-10,0.0031387814832528,-4.75639131646933E-09,0.00532754482329061,0,0,0,0,0,0,package://truck_and_trailer/meshes/front_left_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://truck_and_trailer/meshes/front_left_wheel_link.STL,,Tyre-6;Rim-6,front_l_wheel_coord,frnt_l_wheel_rotation_axis,front_left_wheel_joint,continuous,0,0.1207,-0.05,1.5708,0,0,front_left_wheel_revolute_link,0,0,-1,30,6,,,,,,,,,,
front_right_wheel_revolute_link,1.66533453693773E-15,-0.0441998322829901,-0.0425101114035069,0,0,0,0.200576881049191,0.000369683498051665,-1.78997664883669E-19,-6.01526521430623E-20,5.183737078116E-05,-6.64392826806986E-05,0.000332287662706047,0,0,0,0,0,0,package://truck_and_trailer/meshes/front_right_wheel_revolute_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://truck_and_trailer/meshes/front_right_wheel_revolute_link.STL,,front shaft-2,front_right_wheel_revolute_coord,front_right_wheel_revolute_axis,front_right_wheel_revolute_joint,revolute,0.508,-0.38735,0.1516,0,0,0,base_chassis_link,0,0,-1,0,0,-0.66,0.26,,,,,0.243,-0.603,100,0
front_right_wheel_link,-7.68976591292159E-08,1.47364998537292E-08,9.36317316134194E-05,0,0,0,0.784079220999348,0.00313878233921512,-1.3494135471091E-09,-4.79949634266101E-09,0.00313875966505358,-4.86308105339538E-11,0.00532754482329062,0,0,0,0,0,0,package://truck_and_trailer/meshes/front_right_wheel_link.STL,1,1,1,0.35,0,0,0,0,0,0,package://truck_and_trailer/meshes/front_right_wheel_link.STL,,Rim-8;Tyre-8,front_r_wheel_coord,frnt_r_wheel_rotation_axis,front_right_wheel_joint,continuous,0,-0.1207,-0.05,1.5708,0,0,front_right_wheel_revolute_link,0,0,1,30,6,,,,,,,,,,
